Date,Serial number,Model,PCB #,Panel (A-B),Shell,Source
2025-01-04,CH17781746,C/CGB-EUR,"05",1-7,ğŸ’œ Grape,UK eBay
2025-01-12,CH17782350,C/CGB-EUR,"05",2-3,ğŸ’œ Grape,UK eBay
2022-07-14,CH17782682,C/CGB-EUR,"05",2-3,ğŸ’œ Grape,UK eBay
2024-07-07,CH17784201,C/CGB-EUR,"05",2-6,ğŸ’œ Grape,UK eBay
2022-07-13,CH17788343,C/CGB-EUR,"05",2-2,ğŸ’œ Grape,UK eBay
2024-08-09,CH17788423,C/CGB-EUR,"05",2-7,ğŸ’œ Grape,UK eBay
2024-06-08,CH17790743,C/CGB-EUR,"05",2-1,ğŸ’œ Grape,UK eBay
2022-06-30,CH17793535,C/CGB-EUR,"05",1-2,ğŸ’œ Grape,UK eBay
2023-04-22,CH17794600,Missing,"05",2-2,ğŸ’œ Grape,UK eBay
2023-05-09,CH17796027,C/CGB-EUR,"05",1-4,ğŸ’œ Grape,UK eBay
2022-06-27,CH17798146,C/CGB-EUR,?,?-?,ğŸ’œ Grape,UK eBay
2024-07-04,CH17800620,C/CGB-EUR,"05",2-?,ğŸ’œ Grape,UK eBay
2022-08-04,CH17803486,C/CGB-EUR,?,1-9,ğŸ’œ Grape,UK eBay
2024-05-03,CH17807130,C/CGB-EUR,"05",1-3,ğŸ’œ Grape,UK eBay
2023-05-30,CH17809683,C/CGB-EUR,"05",?-?,ğŸ’œ Grape,UK eBay
2022-07-06,CH17810225,C/CGB-EUR,"05",2-8,ğŸ’œ Grape,UK eBay
2023-05-14,CH17814623,C/CGB-EUR,"05",2-2,ğŸ’œ Grape,UK eBay
2022-07-28,CH17822081,C/CGB-EUR,"05",2-9,ğŸ©µ Teal,UK eBay
2025-01-07,CH17822215,C/CGB-EUR,"05",2-?,ğŸ©µ Teal,UK eBay
2025-01-10,CH17825346,C/CGB-EUR,"05",1-6,ğŸ©µ Teal,UK eBay
2023-05-26,CH17833736,C/CGB-EUR,"05",2-3,ğŸ©µ Teal,UK eBay
2025-01-04,CH17839848,C/CGB-EUR,"05",1-9,ğŸ©µ Teal,UK eBay
2023-04-15,CH17841152,C/CGB-EUR,"05",1-3,ğŸ©µ Teal,UK eBay
2023-05-30,CH17841611,C/CGB-EUR,"05",1-3,ğŸ©µ Teal,UK eBay
2025-05-29,CH17844662,C/CGB-EUR,"05",2-?,ğŸ©µ Teal,UK eBay
2023-05-17,CH17845111,C/CGB-EUR,"05",2-9,ğŸ©µ Teal,UK eBay
2024-11-07,CH17848417,C/CGB-EUR,"05",1-3,ğŸ©µ Teal,UK eBay
2023-03-31,CH17854678,C/CGB-EUR,"05",1-8,ğŸ©µ Teal,UK eBay
2024-04-29,CH17855641,C/CGB-EUR,"05",2-4,ğŸ©µ Teal,UK eBay
2023-05-30,CH17855830,C/CGB-EUR,"05",1-8,ğŸ©µ Teal,UK eBay
2024-08-19,CH17858704,C/CGB-EUR,"05",2-?,ğŸ©µ Teal,UK eBay
2022-06-28,CH17862851,C/CGB-EUR,"05",1-1,ğŸ©µ Teal,UK eBay
2025-01-17,CH17863143,C/CGB-EUR,"05",2-4,ğŸ©µ Teal,UK eBay
2025-01-04,CH17868450,C/CGB-EUR,"05",2-7,ğŸ©µ Teal,UK eBay
2024-08-09,CH17868830,C/CGB-EUR,"05",1-3,ğŸ©µ Teal,US eBay
2022-08-04,CH17870014,C/CGB-EUR,"05",2-9,ğŸ©µ Teal,UK eBay
2024-09-07,CH17873344,C/CGB-EUR,"05",2-5,ğŸ©µ Teal,UK eBay
2024-06-09,CH17873916,C/CGB-EUR,"05",1-?,ğŸ©µ Teal,UK eBay
2022-06-28,CH17874692,C/CGB-EUR,"05",1-6,ğŸ©µ Teal,UK eBay
2024-06-19,CH17878128,C/CGB-EUR,"05",2-1,ğŸ©µ Teal,UK eBay
2024-09-09,CH17879738,Missing,"05",2-2,ğŸ©µ Teal,UK eBay
2022-07-06,CH17882989,C/CGB-EUR,"05",2-8,ğŸ©µ Teal,UK eBay
2022-08-14,CH17887383,C/CGB-EUR,"05",2-4,ğŸ©µ Teal,UK eBay
2023-05-29,CH17888884,C/CGB-EUR,"05",1-7,ğŸ©µ Teal,UK eBay
2022-08-05,CH17893380,C/CGB-EUR,"05",2-4,ğŸ©µ Teal,UK eBay
2024-11-22,CH17895448,C/CGB-EUR,"05",2-9,ğŸ©µ Teal,UK eBay
2023-05-03,CH17896783,C/CGB-EUR,"05",2-1,ğŸ©µ Teal,UK eBay
2024-10-11,CH17896992,C/CGB-EUR,"05",1-9,ğŸ©µ Teal,UK eBay
2022-06-27,CH17899329,C/CGB-EUR,?,?-?,ğŸ©µ Teal,UK eBay
2022-06-28,CH17901937,C/CGB-EUR,"05",?-?,ğŸ©µ Teal,UK eBay
2022-06-28,CH17902212,C/CGB-EUR,"05",2-3,ğŸ©µ Teal,UK eBay
2022-07-18,CH17904808,C/CGB-EUR,"05",2-7,ğŸ’š Kiwi,UK eBay
2024-12-05,CH17910801,Missing,"05",2-3,ğŸ’š Kiwi,UK eBay
2024-06-08,CH17911622,C/CGB-EUR,"05",2-7,ğŸ’š Kiwi,UK eBay
2024-04-22,CH17918185,C/CGB-EUR,"05",1-1,ğŸ’š Kiwi,UK eBay
2022-06-27,CH17922157,C/CGB-EUR,?,?-?,ğŸ’š Kiwi,UK eBay
2024-09-13,CH17924265,C/CGB-EUR,"05",?-?,ğŸ’š Kiwi,UK eBay
2023-05-16,CH17925433,C/CGB-EUR,"05",1-5,ğŸ’š Kiwi,UK eBay
2023-04-29,CH17928392,C/CGB-EUR,"05",2-7,ğŸ’š Kiwi,UK eBay
2024-06-12,CH17931929,C/CGB-EUR,"05",1-9,ğŸ’š Kiwi,UK eBay
2022-07-08,CH17932837,C/CGB-EUR,"05",1-9,ğŸ’š Kiwi,UK eBay
2024-11-26,CH17935808,C/CGB-EUR,"05",2-8,ğŸ’š Kiwi,UK eBay
2022-07-17,CH17937008,C/CGB-EUR,"05",2-7,ğŸ’š Kiwi,UK eBay
2024-08-03,CH17937595,C/CGB-EUR,"05",2-2,ğŸ’š Kiwi,UK eBay
2024-11-28,CH17943282,C/CGB-EUR,"05",1-5,ğŸ’š Kiwi,UK eBay
2024-12-01,CH17943907,C/CGB-EUR,"05",2-5,ğŸ’š Kiwi,UK eBay
2022-07-03,CH17944544,C/CGB-EUR,"05",1-7,ğŸ’š Kiwi,UK eBay
2025-01-26,CH17946541,C/CGB-EUR,"05",2-5,ğŸ’š Kiwi,AU eBay
2024-11-23,CH17955486,Missing,"05",2-2,ğŸ’š Kiwi,UK eBay
2025-01-04,CH17956787,C/CGB-EUR,"05",2-3,ğŸ’š Kiwi,UK eBay
2023-05-07,CH17967317,C/CGB-EUR,"05",?-?,ğŸ’š Kiwi,UK eBay
2022-08-17,CH17968453,C/CGB-EUR,"05",1-2,ğŸ’š Kiwi,UK eBay
2022-07-14,CH17969690,C/CGB-EUR,"05",1-6,ğŸ’š Kiwi,UK eBay
2024-11-19,CH17974189,Missing,"05",1-8,ğŸ’š Kiwi,UK eBay
2024-05-28,CH17984111,C/CGB-EUR,"05",1-8,ğŸ’š Kiwi,UK eBay
2022-06-28,CH17984236,C/CGB-EUR,"05",2-5,ğŸ’š Kiwi,UK eBay
2025-01-02,CH17990557,C/CGB-EUR,"05",2-9,ğŸ’Ÿ Atomic purple,UK eBay
2024-07-13,CH17993757,C/CGB-EUR,"05",1-9,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-14,CH17997457,C/CGB-EUR,"05",2-2,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-19,CH17997640,C/CGB-EUR,"05",1-5,ğŸ’Ÿ Atomic purple,UK eBay
2024-11-30,CH17999330,C/CGB-EUR,"05",2-6,ğŸ’Ÿ Atomic purple,UK eBay
2024-04-25,CH17999388,C/CGB-EUR,"05",1-9,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-05,CH18006343,C/CGB-EUR,"05",1-5,ğŸ’Ÿ Atomic purple,UK eBay
2022-08-01,CH18008080,C/CGB-EUR,"05",1-2,ğŸ’Ÿ Atomic purple,UK eBay
2024-07-06,CH18010663,C/CGB-EUR,"05",1-9,ğŸ’Ÿ Atomic purple,UK eBay
2024-09-07,CH18014281,C/CGB-EUR,"05",1-3,ğŸ’Ÿ Atomic purple,UK eBay
2024-08-16,CH18014528,C/CGB-EUR,"05",1-8,ğŸ’Ÿ Atomic purple,UK eBay
2024-10-26,CH18015652,C/CGB-EUR,"05",1-3,ğŸ’Ÿ Atomic purple,UK eBay
2024-09-10,CH18016935,C/CGB-EUR,"04",3-1,ğŸ’Ÿ Atomic purple,UK eBay
2024-08-19,CH18017882,C/CGB-EUR,"05",1-1,ğŸ’Ÿ Atomic purple,UK eBay
2022-08-14,CH18027046,C/CGB-EUR,"05",1-1,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-16,CH18029066,C/CGB-EUR,"05",1-7,ğŸ’Ÿ Atomic purple,UK eBay
2023-04-29,CH18030884,C/CGB-EUR,"05",2-7,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-23,CH18033346,C/CGB-EUR,"05",1-5,ğŸ’Ÿ Atomic purple,UK eBay
2023-04-21,CH18034680,C/CGB-EUR,"05",2-6,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-22,CH18037678,C/CGB-EUR,"05",2-3,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-27,CH18038939,C/CGB-EUR,"05",1-?,ğŸ’Ÿ Atomic purple,UK eBay
2024-06-27,CH18042986,C/CGB-EUR,"05",2-7,ğŸ’Ÿ Atomic purple,UK eBay
2023-05-21,CH18043900,C/CGB-EUR,"05",1-1,ğŸ’Ÿ Atomic purple,UK eBay
2024-07-14,CH18044706,C/CGB-EUR,"05",?-9,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-18,CH18047204,C/CGB-EUR,"05",1-6,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-03,CH18048942,C/CGB-EUR,"05",2-1,ğŸ’Ÿ Atomic purple,UK eBay
2024-11-18,CH18049029,C/CGB-EUR,"05",1-4,ğŸ’Ÿ Atomic purple,UK eBay
2022-08-16,CH18049444,C/CGB-EUR,"05",2-8,ğŸ’Ÿ Atomic purple,UK eBay
2023-05-05,CH18051370,C/CGB-EUR,"05",1-4,ğŸ’Ÿ Atomic purple,UK eBay
2023-05-21,CH18052213,C/CGB-EUR,"05",2-4,ğŸ’Ÿ Atomic purple,UK eBay
2023-04-22,CH18058458,C/CGB-EUR,"05",1-?,ğŸ’Ÿ Atomic purple,UK eBay
2022-06-28,CH18061486,C/CGB-EUR,"05",2-2,ğŸ’Ÿ Atomic purple,UK eBay
2024-06-17,CH18064714,C/CGB-EUR,"05",1-9,ğŸ’› Dandelion,UK eBay
2024-08-27,CH18067325,C/CGB-EUR,"05",2-2,ğŸ’› Dandelion,UK eBay
2024-05-06,CH18068874,C/CGB-EUR,"05",2-9,ğŸ’› Dandelion,UK eBay
2024-11-11,CH18069491,C/CGB-EUR,"05",2-8,ğŸ’› Dandelion,UK eBay
2022-07-21,CH18069789,C/CGB-EUR,"05",1-7,ğŸ’› Dandelion,UK eBay
2022-08-16,CH18070789,C/CGB-EUR,"05",1-9,ğŸ’› Dandelion,UK eBay
2024-05-02,CH18075753,C/CGB-EUR,"05",1-3,ğŸ’› Dandelion,UK eBay
2024-07-08,CH18080623,C/CGB-EUR,"05",?-?,ğŸ’› Dandelion,UK Marketplace
2025-01-07,CH18082110,C/CGB-EUR,"05",2-?,ğŸ’› Dandelion,UK eBay
2024-08-27,CH18089469,C/CGB-EUR,"05",2-3,ğŸ’› Dandelion,UK eBay
2022-07-19,CH18090706,C/CGB-EUR,"05",2-4,ğŸ’› Dandelion,UK eBay
2024-08-13,CH18093566,C/CGB-EUR,"05",2-3,ğŸ’› Dandelion,UK eBay
2023-04-28,CH18096130,C/CGB-EUR,"05",1-4,ğŸ’› Dandelion,UK eBay
2024-11-23,CH18100211,C/CGB-EUR,"05",1-5,ğŸ’› Dandelion,UK eBay
2022-07-17,CH18109946,C/CGB-EUR,"05",1-6,ğŸ’› Dandelion,UK eBay
2024-12-06,CH18117024,C/CGB-EUR,"05",2-4,ğŸ’› Dandelion,UK eBay
2022-06-28,CH18174898,C/CGB-EUR,"05",2-7,ğŸ©· Berry,UK eBay
2024-09-08,CH18310860,C/CGB-JPN-2,"05",2-9,ğŸ’Ÿ Atomic purple,US eBay
2024-08-10,CH18312807,C/CGB-JPN-2,"05",1-9,ğŸ’Ÿ Atomic purple,JO eBay
2024-08-08,CH18337428,C/CGB-EUR,"05",?-?,ğŸ’œ Grape,UK eBay
2024-12-07,CH18337536,C/CGB-EUR,"05",2-?,ğŸ’œ Grape,UK eBay
2024-05-03,CH18338595,C/CGB-EUR,"05",?-?,ğŸ’œ Grape,UK eBay
2024-11-24,CH18340946,C/CGB-EUR,"05",2-9,ğŸ’œ Grape,UK eBay
2023-04-22,CH18341705,C/CGB-EUR,"05",2-9,ğŸ’œ Grape,UK eBay
2023-05-14,CH18342976,C/CGB-EUR,"05",1-?,ğŸ’œ Grape,UK eBay
2022-06-30,CH18343879,C/CGB-EUR,"05",2-3,ğŸ’œ Grape,UK eBay
2024-09-10,CH18352097,C/CGB-EUR,"05",1-4,ğŸ’œ Grape,UK eBay
2024-06-19,CH18357872,C/CGB-EUR,"03",1-1,ğŸ’œ Grape,UK eBay
2024-08-20,CH18357940,C/CGB-EUR,"05",2-3,ğŸ’œ Grape,UK eBay
2025-01-07,CH18361561,C/CGB-EUR,"05",2-2,ğŸ’œ Grape,UK eBay
2023-04-24,CH18362747,C/CGB-EUR,"05",1-8,ğŸ’œ Grape,UK eBay
2024-06-18,CH18363169,C/CGB-EUR,"05",2-7,ğŸ’œ Grape,UK eBay
2024-06-30,CH18369433,C/CGB-EUR,"05",1-5,ğŸ’œ Grape,UK eBay
2022-07-05,CH18370730,C/CGB-EUR,"05",1-5,ğŸ’œ Grape,UK eBay
2025-02-24,CH18372429,C/CGB-EUR,"05",2-3,ğŸ’œ Grape,UK eBay
2024-06-24,CH18374150,C/CGB-EUR,"05",2-2,ğŸ’œ Grape,UK eBay
2024-11-10,CH18376594,C/CGB-EUR,"05",1-3,ğŸ’œ Grape,UK eBay
2023-05-30,CH18377780,C/CGB-EUR,"05",2-1,ğŸ’œ Grape,UK eBay
2024-07-13,CH18378297,C/CGB-EUR,"05",1-3,ğŸ’œ Grape,UK eBay
2022-07-21,CH18381214,C/CGB-EUR,"05",2-5,ğŸ’œ Grape,UK eBay
2022-06-28,CH18388979,Missing,"05",2-1,ğŸ©µ Teal,UK eBay
2024-06-27,CH18390083,C/CGB-EUR,"05",2-2,ğŸ©µ Teal,UK eBay
2022-08-14,CH18390287,C/CGB-EUR,"05",1-5,ğŸ©µ Teal,UK eBay
2022-07-17,CH18392505,Missing,"05",1-2,ğŸ©µ Teal,UK eBay
2024-10-11,CH18396759,C/CGB-EUR,"05",2-8,ğŸ©µ Teal,UK Other
2025-01-21,CH18398837,C/CGB-EUR,"05",2-7,ğŸ©µ Teal,UK eBay
2025-01-03,CH18400500,Missing,"05",2-3,ğŸ’œ Grape,UK eBay
2024-05-22,CH18401216,C/CGB-EUR,"05",1-1,ğŸ©µ Teal,UK eBay
2022-08-14,CH18403028,C/CGB-EUR,"05",1-9,ğŸ©µ Teal,UK eBay
2024-11-17,CH18411265,C/CGB-EUR,"05",1-1,ğŸ©µ Teal,UK eBay
2024-08-21,CH18414194,C/CGB-EUR,"05",2-3,ğŸ©µ Teal,UK eBay
2024-06-03,CH18426275,C/CGB-EUR,"05",1-8,ğŸ©µ Teal,UK eBay
2023-05-08,CH18429150,C/CGB-EUR,"05",2-6,ğŸ©µ Teal,UK eBay
2024-09-14,CH18430311,C/CGB-EUR,"05",2-8,ğŸ©µ Teal,UK eBay
2024-06-08,CH18430969,C/CGB-EUR,"05",1-8,ğŸ©µ Teal,UK Vinted
2024-06-01,CH18431251,Missing,"05",1-9,ğŸ©µ Teal,UK eBay
2024-08-12,CH18434377,C/CGB-EUR,"05",2-7,ğŸ’š Kiwi,UK eBay
2024-07-05,CH18453320,C/CGB-EUR,"05",1-4,ğŸ’š Kiwi,UK eBay
2024-07-26,CH18457161,C/CGB-EUR,"05",1-6,ğŸ’š Kiwi,UK eBay
2024-08-10,CH18462142,C/CGB-EUR,"05",2-3,ğŸ’š Kiwi,UK eBay
2024-06-08,CH18469502,C/CGB-EUR,"05",1-5,ğŸ’š Kiwi,UK eBay
2025-01-21,CH18470552,Missing,"05",1-1,ğŸ’š Kiwi,UK eBay
2024-07-25,CH18472592,C/CGB-EUR,"05",2-5,ğŸ’š Kiwi,UK eBay
2024-07-11,CH18476040,C/CGB-EUR,"05",2-1,ğŸ’š Kiwi,UK eBay
2022-08-02,CH18520672,C/CGB-EUR,"05",2-6,ğŸ’› Dandelion,UK eBay
2025-06-05,CH18528986,C/CGB-EUR,"05",2-5,ğŸ©µ Teal,DE eBay
2025-06-18,CH18534936,C/CGB-EUR,"05",1-2,ğŸ’š Kiwi,DE eBay
2024-12-05,CH18547939,C/CGB-EUR,"05",2-5,ğŸ’š Kiwi,JP eBay
2024-09-10,CH18591634,C/CGB-EUR,"05",1-5,ğŸ’Ÿ Atomic purple,UK eBay
2024-07-08,CH18593541,Missing,"05",2-5,ğŸ’Ÿ Atomic purple,UK Marketplace
2024-10-26,CH18593649,Missing,"05",2-1,ğŸ’Ÿ Atomic purple,UK eBay
2022-06-30,CH18594916,C/CGB-EUR,"05",1-7,ğŸ’Ÿ Atomic purple,UK eBay
2024-11-17,CH18598883,C/CGB-EUR,"05",1-1,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-06,CH18604058,C/CGB-EUR,"05",1-1,ğŸ’Ÿ Atomic purple,UK eBay
2023-05-21,CH18604661,C/CGB-EUR,"05",1-?,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-24,CH18605441,C/CGB-EUR,"05",1-3,ğŸ’Ÿ Atomic purple,UK eBay
2024-08-19,CH18607524,C/CGB-EUR,?,4-1,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-05,CH18609416,C/CGB-EUR,"05",2-6,ğŸ’Ÿ Atomic purple,UK Vinted
2025-01-13,CH18612463,C/CGB-EUR,"05",1-3,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-30,CH18612486,C/CGB-EUR,"05",2-6,ğŸ’Ÿ Atomic purple,UK eBay
2022-07-17,CH18616217,C/CGB-EUR,"05",2-9,ğŸ’Ÿ Atomic purple,UK eBay
2024-12-05,CH18621603,Missing,"05",2-2,ğŸ’Ÿ Atomic purple,UK eBay
2023-04-14,CH18623676,C/CGB-EUR,"05",1-8,ğŸ’Ÿ Atomic purple,UK eBay
2023-05-01,CH18623740,Missing,"05",1-4,ğŸ’Ÿ Atomic purple,UK eBay
2025-01-03,CH18632423,C/CGB-EUR,"05",?-9,ğŸ’› Dandelion,UK eBay
2024-08-12,CH18641247,C/CGB-EUR,"05",2-1,ğŸ’› Dandelion,UK eBay
2024-08-12,CH18647727,C/CGB-EUR,"05",1-?,ğŸ’› Dandelion,UK eBay
2022-06-28,CH18650714,C/CGB-EUR,"05",2-6,ğŸ’› Dandelion,UK eBay
2024-08-22,CH18664919,C/CGB-JPN-2,"05",2-?,ğŸ’œ Grape,AU eBay
2025-01-26,CH18673116,C/CGB-JPN-2,"05",2-2,ğŸ’Ÿ Atomic purple,AU eBay
2024-11-17,CH18673960,C/CGB-JPN-2,"05",2-2,ğŸ’Ÿ Atomic purple,UK eBay
2025-01-02,CH18678727,C/CGB-JPN-2,"05",1-7,ğŸ¤ Clear translucent,AU eBay
2025-01-16,CH18680750,C/CGB-JPN-2,"05",1-2,ğŸ¤ Clear translucent,AU eBay
2025-02-10,CH18682754,Missing,"05",2-7,ğŸ¤ Clear translucent,AU eBay
2024-10-26,CH18685089,C/CGB-JPN-2,"05",1-8,ğŸ¤ Clear translucent,AU eBay
2024-12-07,CH18697267,C/CGB-JPN-2,"05",?-?,ğŸ©µ Teal,AU eBay
2025-01-26,CH18700891,C/CGB-JPN-2,"05",1-7,ğŸ’š Kiwi,AU eBay
2025-01-21,CH18717195,C/CGB-JPN-2,"05",1-6,ğŸ’œ Grape,AU eBay
2025-01-02,CH18755332,C/CGB-JPN-2,"05",1-1,ğŸ¤ Clear translucent,AU eBay
2024-08-08,CH18763444,C/CGB-JPN-2,"05",2-5,ğŸ©µ Teal,AU eBay
2025-01-21,CH18774833,C/CGB-EUR,"05",2-1,ğŸ©µ Teal,UK eBay
2025-01-10,CH18787795,C/CGB-EUR,"05",2-1,ğŸ©µ Teal,UK eBay
2024-05-28,CH18814873,C/CGB-EUR,"05",1-2,ğŸ’Ÿ Atomic purple,UK eBay
2024-06-02,CH18816796,C/CGB-EUR,"05",?-?,ğŸ’Ÿ Atomic purple,UK eBay
2024-06-01,CH18827075,C/CGB-EUR,"05",?-?,ğŸ’Ÿ Atomic purple,UK eBay
2022-08-07,CH18831555,C/CGB-EUR,"05",2-7,ğŸ’Ÿ Atomic purple,UK eBay
2024-05-04,CH18847917,C/CGB-EUR,"05",1-6,ğŸ’œ Grape,UK eBay
2024-08-28,CH18935659,C/CGB-EUR,"05",2-7,ğŸ’› Dandelion,UK eBay
2023-05-27,CH19071280,C/CGB-EUR,"05",2-8,ğŸ’Ÿ Atomic purple,UK eBay
2022-06-27,CH19096881,C/CGB-EUR,?,?-?,ğŸ©µ Teal,UK eBay
2024-08-30,CH19172688,Reproduction,"05",2-2,ğŸ’œ Grape,US eBay
2022-08-04,CH19200646,C/CGB-JPN-2,"05",2-1,ğŸ’› Dandelion,UK eBay
2025-05-29,CH19245134,C/CGB-EUR,"05",?-5,ğŸ’œ Grape,UK eBay
2022-07-17,CH19249192,Reproduction,"05",?-?,ğŸ’œ Grape,UK eBay
2025-06-18,CH19347344,C/CGB-EUR,"05",1-6,ğŸ’› Dandelion,DE eBay
2023-05-01,CH19358837,Reproduction,"04",11-1,ğŸ’› Dandelion,UK eBay
2022-07-19,CH19402608,C/CGB-EUR,"05",1-1,ğŸ©· Berry,UK eBay
2025-06-06,CH19526233,C/CGB-EUR,"05",1-5,ğŸ©µ Teal,DE eBay
2022-06-30,CH19614885,C/CGB-JPN-2,"05",2-7,ğŸ’Ÿ Atomic purple,UK eBay
